target,seed,index,tm_stochastic,tm_pfode,delta_tm
30JR,20250117,0,0.3347799390838942,0.3287559892080928,-0.006023949875801404
30JR,20250117,1,0.4085803078667034,0.40839030839993234,-0.0001899994667710625
30JR,20250117,2,0.33949591973200915,0.30333663129967514,-0.036159288432334014
30JR,20250117,3,0.34748672073398584,0.3290230135765112,-0.01846370715747464
30JR,20250117,4,0.3370444794694646,0.3314736241016732,-0.005570855367791394
30JR,20250117,5,0.3549979910812358,0.3421763470988164,-0.012821643982419417
30JR,20250117,6,0.39797974986389817,0.3161934317703287,-0.08178631809356945
30JR,20250117,7,0.3234762141259027,0.2585205963719596,-0.0649556177539431
30JR,20250117,8,0.38828917422710224,0.3742524043471253,-0.01403676987997693
30JR,20250117,9,0.4629769272048882,0.3093072302601697,-0.1536696969447185
30JR,20250117,10,0.3523496531983915,0.31531371304395284,-0.037035940154438673
30JR,20250117,11,0.376998740637041,0.36297770248102285,-0.014021038156018129
30JR,20250117,12,0.3277071721124744,0.3369143438643406,0.009207171751866194
30JR,20250117,13,0.3259340335146609,0.30669737456356166,-0.019236658951099217
30JR,20250117,14,0.31517873162536975,0.34102195959030035,0.025843227964930604
30JR,20250117,15,0.4036822640437899,0.34759689679247313,-0.05608536725131674
30JR,20250117,16,0.35261778075036454,0.33637738680600016,-0.016240393944364384
30JR,20250117,17,0.4107240195252789,0.3345743305613696,-0.07614968896390933
30JR,20250117,18,0.3780153624366587,0.3294176127111272,-0.04859774972553149
30JR,20250117,19,0.357475737598962,0.3557444888202445,-0.001731248778717498
30JR,20250117,20,0.28617184002455953,0.3252774991753366,0.03910565915077707
30JR,20250117,21,0.34189194935415695,0.39997900803319175,0.0580870586790348
30JR,20250117,22,0.3332484968970077,0.3335541084173427,0.00030561152033498074
30JR,20250117,23,0.3605030562793884,0.35299364503793035,-0.007509411241458042
30JR,20250117,24,0.38686501595980743,0.35787730560391173,-0.0289877103558957
30JR,20250117,25,0.4018733557257815,0.3293025173639402,-0.0725708383618413
30JR,20250117,26,0.5546806304501237,0.4109895184822079,-0.14369111196791584
30JR,20250117,27,0.3114051948336274,0.3706196647740475,0.05921446994042012
30JR,20250117,28,0.33853503050191314,0.32088995255293246,-0.01764507794898068
30JR,20250117,29,0.38749971776480635,0.3306487198548626,-0.056850997909943746
30JR,20250117,30,0.3288406497934731,0.32196377056467623,-0.006876879228796873
30JR,20250117,31,0.38817384849543174,0.33185567739235305,-0.056318171103078685
30JR,20250117,32,0.3344133012081482,0.32388163947991017,-0.010531661728238051
30JR,20250117,33,0.33241604314693635,0.396868055854186,0.06445201270724965
30JR,20250117,34,0.32555262787065664,0.3391690210416288,0.013616393170972185
30JR,20250117,35,0.41462207005155965,0.32591165609831313,-0.08871041395324653
30JR,20250117,36,0.3987392162709179,0.3617724646572477,-0.03696675161367019
30JR,20250117,37,0.4369803329978572,0.32279087483532826,-0.11418945816252896
30JR,20250117,38,0.35893204116719807,0.35555809305278263,-0.003373948114415437
30JR,20250117,39,0.3353721667524404,0.3417680817449187,0.006395914992478269
30JR,20250117,40,0.37553183724410255,0.343348864283544,-0.032182972960558553
30JR,20250117,41,0.35023879651950784,0.33822631099733225,-0.012012485522175598
30JR,20250117,42,0.3903899916518006,0.32023743369061763,-0.07015255796118297
30JR,20250117,43,0.35332551632566844,0.35874183047630814,0.0054163141506397006
30JR,20250117,44,0.47809846228522646,0.36844384665693586,-0.1096546156282906
30JR,20250117,45,0.4305573809515975,0.38977915504067,-0.0407782259109275
30JR,20250117,46,0.4059998818184592,0.31414285814087833,-0.09185702367758086
30JR,20250117,47,0.36596600782693695,0.3549788549139957,-0.010987152912941223
30JR,20250117,48,0.36152541013196193,0.29975086205106016,-0.06177454808090177
30JR,20250117,49,0.2861661243648628,0.34628994677492375,0.06012382241006098
30JR,20250117,50,0.45624464252536706,0.3384583108356145,-0.11778633168975255
30JR,20250117,51,0.4360907851829941,0.3479883414538054,-0.08810244372918868
30JR,20250117,52,0.39083733478896576,0.35390534934250006,-0.0369319854464657
30JR,20250117,53,0.3644498843309213,0.3687442049002261,0.004294320569304788
30JR,20250117,54,0.3510345858381869,0.3445762190967093,-0.006458366741477595
30JR,20250117,55,0.3450512772857816,0.2859274920989531,-0.05912378518682854
30JR,20250117,56,0.3862413362277386,0.43199826399026225,0.04575692776252366
30JR,20250117,57,0.4979541176253017,0.3527106334829363,-0.14524348414236538
30JR,20250117,58,0.3708019852489298,0.34984267767141436,-0.020959307577515462
30JR,20250117,59,0.3448261958934592,0.3575269538348878,0.012700757941428609
30JR,20250117,60,0.42615152848745064,0.33724018287140994,-0.0889113456160407
30JR,20250117,61,0.3244564666042274,0.35120975365663987,0.026753287052412478
30JR,20250117,62,0.3753766476278786,0.3544320673844755,-0.020944580243403066
30JR,20250117,63,0.38253453215372535,0.33313840065961703,-0.04939613149410832
30JR,20250117,64,0.3837276005701267,0.3415210438634634,-0.042206556706663345
30JR,20250117,65,0.3639351343317773,0.37377297518952685,0.009837840857749525
30JR,20250117,66,0.3388501447667299,0.3904392718137981,0.051589127047068195
30JR,20250117,67,0.36728424172632773,0.3153398847645612,-0.051944356961766525
30JR,20250117,68,0.3849304250966754,0.3316270970070353,-0.05330332808964011
30JR,20250117,69,0.42715731010849567,0.318970966011333,-0.10818634409716266
30JR,20250117,70,0.3329339506319761,0.425074720677578,0.0921407700456019
30JR,20250117,71,0.38826908651914627,0.3214681376829434,-0.06680094883620286
30JR,20250117,72,0.36155851745146406,0.34573291165035847,-0.01582560580110559
30JR,20250117,73,0.3897310335654728,0.3858657557114292,-0.0038652778540435584
30JR,20250117,74,0.34215159029889375,0.36285446580427166,0.020702875505377916
30JR,20250117,75,0.3737787246403563,0.3559902078072574,-0.0177885168330989
30JR,20250117,76,0.42333459480517005,0.3421222962800646,-0.08121229852510548
30JR,20250117,77,0.30869252702206745,0.3410321549932019,0.03233962797113443
30JR,20250117,78,0.33262618370486335,0.3341007885613617,0.0014746048564983627
30JR,20250117,79,0.38117346594036855,0.35141566909436384,-0.029757796846004714
30JR,20250117,80,0.3653883082107873,0.34463393899963307,-0.020754369211154255
30JR,20250117,81,0.34389453798688824,0.33070143217444964,-0.0131931058124386
30JR,20250117,82,0.32606307140619295,0.3452476324690326,0.019184561062839667
30JR,20250117,83,0.340815854487206,0.35499064156166305,0.014174787074457018
30JR,20250117,84,0.30325398947268956,0.33197705194276195,0.02872306247007239
30JR,20250117,85,0.37491015913696046,0.32549349936931343,-0.04941665976764703
30JR,20250117,86,0.35550817580166577,0.3420823706105906,-0.013425805191075169
30JR,20250117,87,0.3479140470029778,0.33751054985032736,-0.010403497152650432
30JR,20250117,88,0.3389802571049687,0.3167325631142678,-0.022247693990700923
30JR,20250117,89,0.3366665290520016,0.35165159140029095,0.014985062348289335
30JR,20250117,90,0.3648363999065342,0.3242602042971502,-0.040576195609384025
30JR,20250117,91,0.35955167662503523,0.3539601059242057,-0.005591570700829551
30JR,20250117,92,0.41002322307045447,0.3521808452616761,-0.05784237780877838
30JR,20250117,93,0.2889250604833888,0.31932163663343516,0.030396576150046373
30JR,20250117,94,0.346314222899092,0.35580333087707494,0.009489107977982969
30JR,20250117,95,0.3593629564853239,0.3750924733957558,0.015729516910431895
30JR,20250117,96,0.3714445753016477,0.326484132995529,-0.04496044230611873
30JR,20250117,97,0.3417687072876471,0.3509281211327376,0.009159413845090503
30JR,20250117,98,0.32872197663319175,0.28037320622836265,-0.0483487704048291
30JR,20250117,99,0.3922118625568758,0.34286133343306013,-0.049350529123815656
30JR,20251126,0,0.3178762938482395,0.34148105150981795,0.023604757661578435
30JR,20251126,1,0.3380992738741921,0.349948205641956,0.011848931767763915
30JR,20251126,2,0.39828425018670727,0.37056242658687927,-0.027721823599828
30JR,20251126,3,0.40764385224928923,0.3159603234179776,-0.09168352883131164
30JR,20251126,4,0.32554093045255583,0.3525412585300144,0.027000328077458557
30JR,20251126,5,0.4047725302341438,0.343394735486276,-0.06137779474786775
30JR,20251126,6,0.36620236953634355,0.33808947731366856,-0.02811289222267499
30JR,20251126,7,0.41090029337891065,0.38412271843337537,-0.026777574945535287
30JR,20251126,8,0.3330748776713982,0.34596665396004983,0.012891776288651624
30JR,20251126,9,0.37169403243456695,0.32174394155275127,-0.04995009088181568
30JR,20251126,10,0.3430706556098213,0.3272853659599919,-0.015785289649829393
30JR,20251126,11,0.347369610151388,0.32587900600065267,-0.021490604150735337
30JR,20251126,12,0.4048391466952176,0.3264004753099585,-0.07843867138525906
30JR,20251126,13,0.3906193996065223,0.3507430941459999,-0.0398763054605224
30JR,20251126,14,0.3779529618226463,0.3392358795991487,-0.03871708222349762
30JR,20251126,15,0.34531223659422206,0.37093940412386445,0.025627167529642392
30JR,20251126,16,0.36690687599784433,0.3507486666805493,-0.016158209317295003
30JR,20251126,17,0.3213648162938651,0.3459062911869592,0.024541474893094106
30JR,20251126,18,0.3425034080446777,0.2881805818448035,-0.05432282619987422
30JR,20251126,19,0.32346897064073477,0.3288918669001036,0.005422896259368815
30JR,20251126,20,0.3999416613089637,0.36345725935647605,-0.036484401952487644
30JR,20251126,21,0.349990697121291,0.32111283836711485,-0.028877858754176144
