budget,N,K,M,d,k,D,latent_dim,chart_version,inference_batch_size,bo_batch_size,timings_this_session,o3_chart,generator_atom_count,generator_atom_slots,seed,oracle_evaluations,generator_sampling,selection_metric,phase1_max,new_points_max,new_points_improvement,max_of_K,top_k_mean,mean_of_K,best_structure,output_dir,generator,msa_cache,runtime
n20_k2,20,2,10,5,2,3552,3552,latent-spaces-by-example-kr-0.1.2,8,1,"{'generation_seconds': 298.50476492755115, 'scoring_seconds': 1.3563520852476358, 'acquisition_seconds': 4.399769350886345, 'wall_seconds': 304.31347396969795}",knothe_rosenblatt_positive_unit_hypersphere,1134,1184,1826899933,20,deterministic_pf_ode,oracle_tm_score,0.790822479005658,0.8177727136271749,0.0269502346215168,0.8177727136271749,0.8162163946853973,0.8162163946853973,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1826899933/bo/round_0007.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1826899933,"{'adapter': 'Boltz2PFODEAdapter', 'latent_dim': 3552, 'atom_count': 1134, 'atom_slots': 1184, 'recycling_steps': 3, 'sampling_steps': 200, 'step_scale': 1.0, 'stochastic_gamma_0': 0.8, 'explicit_latent': True, 'subsample_msa': False, 'num_subsampled_msa': 1024, 'inference_precision': '32', 'no_kernels': True, 'checkpoint': {'path': '/home/thanh/budgetting-O3/.boltz/boltz2_conf.ckpt', 'exists': True, 'size_bytes': 2286561469, 'sha256': '090e82ac8c92f5e943fa1b39e7410a44027bea7243c0bbb3caa67a77fc1428e1'}}","{'input_msa_path': None, 'input_msa_sha256': None, 'processed_dir': '/mnt/SSD3/Chase/budgetting O3/data/boltz2_1cll/o3cache_ad2d19683ebd02b3', 'processing_fingerprint': 'ad2d19683ebd02b3e22facde756dfe6fdd17d7313b086bf5ec9af0c11e3dea14', 'msa_sha256': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855', 'manifest_sha256': '5566389c8b3891fa18c38709b6c2424637ffc7c00cbde71aa42f7720a8b3815f', 'msa_ids': [-1], 'has_msa': False, 'use_msa_server': False, 'server_url': None}","{'python': '3.12.14', 'platform': 'Linux-4.15.0-142-generic-x86_64-with-glibc2.23', 'torch': '2.5.1+cu118', 'cuda': '11.8', 'cuda_available': True, 'gpu': 'NVIDIA GeForce GTX TITAN X'}"
n20_k2,20,2,10,5,2,3552,3552,latent-spaces-by-example-kr-0.1.2,8,1,"{'generation_seconds': 299.09284368529916, 'scoring_seconds': 1.4375927597284317, 'acquisition_seconds': 3.5366949047893286, 'wall_seconds': 304.1043126638979}",knothe_rosenblatt_positive_unit_hypersphere,1134,1184,408952644,20,deterministic_pf_ode,oracle_tm_score,0.8243486609036632,0.8242618270518334,-8.683385182983727e-05,0.8243486609036632,0.8243052439777483,0.8243052439777483,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_408952644/phase1/sample_0000.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_408952644,"{'adapter': 'Boltz2PFODEAdapter', 'latent_dim': 3552, 'atom_count': 1134, 'atom_slots': 1184, 'recycling_steps': 3, 'sampling_steps': 200, 'step_scale': 1.0, 'stochastic_gamma_0': 0.8, 'explicit_latent': True, 'subsample_msa': False, 'num_subsampled_msa': 1024, 'inference_precision': '32', 'no_kernels': True, 'checkpoint': {'path': '/home/thanh/budgetting-O3/.boltz/boltz2_conf.ckpt', 'exists': True, 'size_bytes': 2286561469, 'sha256': '090e82ac8c92f5e943fa1b39e7410a44027bea7243c0bbb3caa67a77fc1428e1'}}","{'input_msa_path': None, 'input_msa_sha256': None, 'processed_dir': '/mnt/SSD3/Chase/budgetting O3/data/boltz2_1cll/o3cache_ad2d19683ebd02b3', 'processing_fingerprint': 'ad2d19683ebd02b3e22facde756dfe6fdd17d7313b086bf5ec9af0c11e3dea14', 'msa_sha256': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855', 'manifest_sha256': '5566389c8b3891fa18c38709b6c2424637ffc7c00cbde71aa42f7720a8b3815f', 'msa_ids': [-1], 'has_msa': False, 'use_msa_server': False, 'server_url': None}","{'python': '3.12.14', 'platform': 'Linux-4.15.0-142-generic-x86_64-with-glibc2.23', 'torch': '2.5.1+cu118', 'cuda': '11.8', 'cuda_available': True, 'gpu': 'NVIDIA GeForce GTX TITAN X'}"
n20_k2,20,2,10,5,2,3552,3552,latent-spaces-by-example-kr-0.1.2,8,1,"{'generation_seconds': 299.1139074154198, 'scoring_seconds': 1.2715692892670631, 'acquisition_seconds': 3.6587121039628983, 'wall_seconds': 304.0817968528718}",knothe_rosenblatt_positive_unit_hypersphere,1134,1184,1847648099,20,deterministic_pf_ode,oracle_tm_score,0.8450651175926851,0.8450480449611647,-1.7072631520398396e-05,0.8450651175926851,0.8450565812769248,0.8450565812769248,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/phase1/sample_0009.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099,"{'adapter': 'Boltz2PFODEAdapter', 'latent_dim': 3552, 'atom_count': 1134, 'atom_slots': 1184, 'recycling_steps': 3, 'sampling_steps': 200, 'step_scale': 1.0, 'stochastic_gamma_0': 0.8, 'explicit_latent': True, 'subsample_msa': False, 'num_subsampled_msa': 1024, 'inference_precision': '32', 'no_kernels': True, 'checkpoint': {'path': '/home/thanh/budgetting-O3/.boltz/boltz2_conf.ckpt', 'exists': True, 'size_bytes': 2286561469, 'sha256': '090e82ac8c92f5e943fa1b39e7410a44027bea7243c0bbb3caa67a77fc1428e1'}}","{'input_msa_path': None, 'input_msa_sha256': None, 'processed_dir': '/mnt/SSD3/Chase/budgetting O3/data/boltz2_1cll/o3cache_ad2d19683ebd02b3', 'processing_fingerprint': 'ad2d19683ebd02b3e22facde756dfe6fdd17d7313b086bf5ec9af0c11e3dea14', 'msa_sha256': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855', 'manifest_sha256': '5566389c8b3891fa18c38709b6c2424637ffc7c00cbde71aa42f7720a8b3815f', 'msa_ids': [-1], 'has_msa': False, 'use_msa_server': False, 'server_url': None}","{'python': '3.12.14', 'platform': 'Linux-4.15.0-142-generic-x86_64-with-glibc2.23', 'torch': '2.5.1+cu118', 'cuda': '11.8', 'cuda_available': True, 'gpu': 'NVIDIA GeForce GTX TITAN X'}"
n20_k2,20,2,10,5,2,3552,3552,latent-spaces-by-example-kr-0.1.2,8,1,"{'generation_seconds': 299.08640562184155, 'scoring_seconds': 1.411683913320303, 'acquisition_seconds': 4.9251834731549025, 'wall_seconds': 305.45915261283517}",knothe_rosenblatt_positive_unit_hypersphere,1134,1184,1559808369,20,deterministic_pf_ode,oracle_tm_score,0.7177199684101964,0.851911916052345,0.1341919476421486,0.851911916052345,0.83609079326799,0.83609079326799,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1559808369/bo/round_0006.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1559808369,"{'adapter': 'Boltz2PFODEAdapter', 'latent_dim': 3552, 'atom_count': 1134, 'atom_slots': 1184, 'recycling_steps': 3, 'sampling_steps': 200, 'step_scale': 1.0, 'stochastic_gamma_0': 0.8, 'explicit_latent': True, 'subsample_msa': False, 'num_subsampled_msa': 1024, 'inference_precision': '32', 'no_kernels': True, 'checkpoint': {'path': '/home/thanh/budgetting-O3/.boltz/boltz2_conf.ckpt', 'exists': True, 'size_bytes': 2286561469, 'sha256': '090e82ac8c92f5e943fa1b39e7410a44027bea7243c0bbb3caa67a77fc1428e1'}}","{'input_msa_path': None, 'input_msa_sha256': None, 'processed_dir': '/mnt/SSD3/Chase/budgetting O3/data/boltz2_1cll/o3cache_ad2d19683ebd02b3', 'processing_fingerprint': 'ad2d19683ebd02b3e22facde756dfe6fdd17d7313b086bf5ec9af0c11e3dea14', 'msa_sha256': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855', 'manifest_sha256': '5566389c8b3891fa18c38709b6c2424637ffc7c00cbde71aa42f7720a8b3815f', 'msa_ids': [-1], 'has_msa': False, 'use_msa_server': False, 'server_url': None}","{'python': '3.12.14', 'platform': 'Linux-4.15.0-142-generic-x86_64-with-glibc2.23', 'torch': '2.5.1+cu118', 'cuda': '11.8', 'cuda_available': True, 'gpu': 'NVIDIA GeForce GTX TITAN X'}"
n20_k2,20,2,10,5,2,3552,3552,latent-spaces-by-example-kr-0.1.2,8,1,"{'generation_seconds': 299.0616306979209, 'scoring_seconds': 1.7239175755530596, 'acquisition_seconds': 1.5319042354822159, 'wall_seconds': 302.3540800474584}",knothe_rosenblatt_positive_unit_hypersphere,1134,1184,2123994547,20,deterministic_pf_ode,oracle_tm_score,0.800949753185148,0.7632643807452777,-0.03768537243987036,0.800949753185148,0.7821070669652128,0.7821070669652128,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547/phase1/sample_0000.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_2123994547,"{'adapter': 'Boltz2PFODEAdapter', 'latent_dim': 3552, 'atom_count': 1134, 'atom_slots': 1184, 'recycling_steps': 3, 'sampling_steps': 200, 'step_scale': 1.0, 'stochastic_gamma_0': 0.8, 'explicit_latent': True, 'subsample_msa': False, 'num_subsampled_msa': 1024, 'inference_precision': '32', 'no_kernels': True, 'checkpoint': {'path': '/home/thanh/budgetting-O3/.boltz/boltz2_conf.ckpt', 'exists': True, 'size_bytes': 2286561469, 'sha256': '090e82ac8c92f5e943fa1b39e7410a44027bea7243c0bbb3caa67a77fc1428e1'}}","{'input_msa_path': None, 'input_msa_sha256': None, 'processed_dir': '/mnt/SSD3/Chase/budgetting O3/data/boltz2_1cll/o3cache_ad2d19683ebd02b3', 'processing_fingerprint': 'ad2d19683ebd02b3e22facde756dfe6fdd17d7313b086bf5ec9af0c11e3dea14', 'msa_sha256': 'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855', 'manifest_sha256': '5566389c8b3891fa18c38709b6c2424637ffc7c00cbde71aa42f7720a8b3815f', 'msa_ids': [-1], 'has_msa': False, 'use_msa_server': False, 'server_url': None}","{'python': '3.12.14', 'platform': 'Linux-4.15.0-142-generic-x86_64-with-glibc2.23', 'torch': '2.5.1+cu118', 'cuda': '11.8', 'cuda_available': True, 'gpu': 'NVIDIA GeForce GTX TITAN X'}"
