sample_index,sample_seed,run_seed,tm_score,structure,inference_precision,batch_seed,batch_start,batch_count,batch_confidence_rank,rank,selected
81,,825015182,0.7870002639592214,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_825015182/samples/sample_0081/sample_0081.pdb,32,1684316372,80,16,1,1,True
97,,825015182,0.7798414202253617,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_825015182/samples/sample_0097/sample_0097.pdb,32,1684316388,96,4,1,2,True
51,,825015182,0.7752434628487825,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_825015182/samples/sample_0051/sample_0051.pdb,32,1684316340,48,16,3,3,True
96,,825015182,0.7497254099418681,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_825015182/samples/sample_0096/sample_0096.pdb,32,1684316388,96,4,0,4,True
66,,825015182,0.7460858401156961,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_825015182/samples/sample_0066/sample_0066.pdb,32,1684316356,64,16,2,5,True
80,,825015182,0.7433336609447857,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_825015182/samples/sample_0080/sample_0080.pdb,32,1684316372,80,16,0,6,True
83,,825015182,0.7431864222687045,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_825015182/samples/sample_0083/sample_0083.pdb,32,1684316372,80,16,3,7,True
64,,825015182,0.7367631959124341,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_825015182/samples/sample_0064/sample_0064.pdb,32,1684316356,64,16,0,8,True
48,,825015182,0.7362992209036842,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_825015182/samples/sample_0048/sample_0048.pdb,32,1684316340,48,16,0,9,True
52,,825015182,0.7312927948086061,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_825015182/samples/sample_0052/sample_0052.pdb,32,1684316340,48,16,4,10,True
0,,825015182,0.7292041325265027,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_825015182/samples/sample_0000/sample_0000.pdb,32,1684316292,0,16,0,11,False
16,,825015182,0.725144436284507,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_825015182/samples/sample_0016/sample_0016.pdb,32,1684316308,16,16,0,12,False
65,,825015182,0.7236944313325712,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_825015182/samples/sample_0065/sample_0065.pdb,32,1684316356,64,16,1,13,False
34,,825015182,0.7236517330290498,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_825015182/samples/sample_0034/sample_0034.pdb,32,1684316324,32,16,2,14,False
