method,replicates,mean_of_K_mean,mean_of_K_std,mean_of_K_best,max_of_K_mean,max_of_K_std,max_of_K_best
matched_stochastic,3,0.7010012690099735,0.032585231821943984,0.7282044115309037,0.8354094163700833,0.0353854562986783,0.8743566154740157
random_pfode,3,0.8451022495206078,0.03368961035447296,0.8828261213154981,0.9152082499642462,0.0300789038770815,0.9336100036096843
