seed,N,K,matched_stochastic_mean_of_K,matched_stochastic_max_of_K,random_pfode_mean_of_K,random_pfode_max_of_K,best_mean_of_K_method,best_max_of_K_method
20250117,100,10,0.7099116747979444,0.8266347550334099,0.8828261213154981,0.9336100036096843,random_pfode,random_pfode
20251126,100,10,0.7282044115309037,0.8052368786028241,0.8344666109942901,0.9315176074706384,random_pfode,random_pfode
20252135,100,10,0.6648877207010726,0.8743566154740157,0.8180140162520351,0.880497138812416,random_pfode,random_pfode
