seed,N,K,best_k_of_n_mean_of_K,best_k_of_n_max_of_K,o3_mean_of_K,o3_max_of_K,random_pfode_mean_of_K,random_pfode_max_of_K,best_mean_of_K_method,best_max_of_K_method
2139874892,100,10,0.7303079562093671,0.8262786957458363,0.9188015585630579,0.9458342760147674,0.8112008985812966,0.9214933938510631,o3,o3
1269247094,100,10,0.7163530218424193,0.8061080369311081,0.9357507227267684,0.939386807442466,0.8328153715628931,0.9122405484711518,o3,o3
1326055816,100,10,0.6771742138498482,0.7755481785961965,0.801612343877483,0.8437635520758094,0.8197340030986329,0.8614714111770606,random_pfode,random_pfode
588726372,100,10,0.71185931892291,0.8078558878995579,0.8715239604216599,0.9054639460115812,0.8364332379263001,0.89325453579194,o3,o3
1544345179,100,10,0.7098020576976092,0.7776702289800101,0.9146680358252475,0.9196938265668041,0.8365683229427491,0.9140092494509496,o3,o3
