method,replicates,mean_of_K_mean,mean_of_K_std,mean_of_K_best,max_of_K_mean,max_of_K_std,max_of_K_best
best_k_of_n,5,0.7090993137044308,0.019555985511502352,0.7303079562093671,0.7986922056305418,0.02166536148526713,0.8262786957458363
o3,5,0.8884713242828434,0.05402135675649531,0.9357507227267684,0.9108284816222857,0.04076168842515581,0.9458342760147674
random_pfode,5,0.8273503668223744,0.011359465878546828,0.8365683229427491,0.900493827748433,0.02417017889432245,0.9214933938510631
