method,N,K,replicates,mean_of_K,mean_of_K_sd,mean_of_K_ci95,mean_of_K_best,max_of_K,max_of_K_sd,max_of_K_ci95,max_of_K_best
matched_stochastic,85,10,3,0.6870091101386469,0.02127440153405789,0.0528528085902646,0.7037643183660236,0.8163873801415541,0.06371399707953107,0.1582871173496565,0.8743566154740157
random_pfode,85,10,3,0.8342744409778559,0.04217731843972157,0.10478272372440482,0.8828261213154981,0.9110595274056755,0.03726119247496839,0.09256940415323993,0.9336100036096843
