seed,N,K,matched_stochastic_mean_of_K,matched_stochastic_max_of_K,random_pfode_mean_of_K,random_pfode_max_of_K
20250117,85,10,0.6941893789057625,0.8266347550334099,0.8828261213154981,0.9336100036096843
20251126,85,10,0.7037643183660236,0.7481707699172367,0.8133117478113931,0.9315176074706384
20252135,85,10,0.6630736331441544,0.8743566154740157,0.8066854538066766,0.868050971136704
