method,replicates,mean_of_K_mean,mean_of_K_std,mean_of_K_best,max_of_K_mean,max_of_K_std,max_of_K_best
best_k_of_n,10,0.7739714240214205,0.01734968912229193,0.804978518520775,0.8402920813075823,0.0446013501775006,0.9084930719298929
o3,10,0.9085746413658357,0.027878875471343226,0.9696689876072753,0.9253483681058081,0.02429278965733301,0.9696765393505087
random_pfode,10,0.8374147510207002,0.019281088673324214,0.8706192237569302,0.91729456630949,0.030511758426056974,0.9695620268117432
