sample_index,sample_seed,run_seed,tm_score,structure,inference_precision,batch_seed,batch_start,batch_count,batch_confidence_rank,rank,selected
96,,2139874892,0.8262786957458363,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0096/sample_0096.pdb,32,4051204218,96,4,0,1,True
0,,2139874892,0.7943560609931464,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0000/sample_0000.pdb,32,4051204122,0,16,0,2,True
49,,2139874892,0.7759971657777632,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0049/sample_0049.pdb,32,4051204170,48,16,1,3,True
32,,2139874892,0.7427391650057085,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0032/sample_0032.pdb,32,4051204154,32,16,0,4,True
16,,2139874892,0.7346377508750266,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0016/sample_0016.pdb,32,4051204138,16,16,0,5,True
48,,2139874892,0.7209078923522793,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0048/sample_0048.pdb,32,4051204170,48,16,0,6,True
2,,2139874892,0.7090056475805331,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0002/sample_0002.pdb,32,4051204122,0,16,2,7,True
33,,2139874892,0.6799253723081647,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0033/sample_0033.pdb,32,4051204154,32,16,1,8,True
4,,2139874892,0.6686461308157449,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0004/sample_0004.pdb,32,4051204122,0,16,4,9,True
64,,2139874892,0.6505856806394676,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0064/sample_0064.pdb,32,4051204186,64,16,0,10,True
1,,2139874892,0.6488408004181739,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0001/sample_0001.pdb,32,4051204122,0,16,1,11,False
98,,2139874892,0.6339229307160219,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0098/sample_0098.pdb,32,4051204218,96,4,2,12,False
68,,2139874892,0.6039301391540959,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0068/sample_0068.pdb,32,4051204186,64,16,4,13,False
97,,2139874892,0.5636982926540104,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0097/sample_0097.pdb,32,4051204218,96,4,1,14,False
67,,2139874892,0.5631544913836563,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0067/sample_0067.pdb,32,4051204186,64,16,3,15,False
17,,2139874892,0.5389386897543352,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0017/sample_0017.pdb,32,4051204138,16,16,1,16,False
82,,2139874892,0.5294502162348096,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0082/sample_0082.pdb,32,4051204202,80,16,2,17,False
73,,2139874892,0.5277464691520247,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0073/sample_0073.pdb,32,4051204186,64,16,9,18,False
19,,2139874892,0.5263274772791993,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0019/sample_0019.pdb,32,4051204138,16,16,3,19,False
50,,2139874892,0.510068808054329,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_2139874892/samples/sample_0050/sample_0050.pdb,32,4051204170,48,16,2,20,False
