method,N,K,replicates,mean_of_K,mean_of_K_sd,mean_of_K_ci95,mean_of_K_best,max_of_K,max_of_K_sd,max_of_K_ci95,max_of_K_best
matched_stochastic,100,10,3,0.7010012690099735,0.032585231821943984,0.08095273644231663,0.7282044115309037,0.8354094163700833,0.0353854562986783,0.08790944110174885,0.8743566154740157
random_pfode,100,10,3,0.8451022495206079,0.03368961035447296,0.08369638622712999,0.8828261213154981,0.9152082499642461,0.0300789038770815,0.07472617016630718,0.9336100036096843
