sample_index,sample_seed,run_seed,tm_score,structure,inference_precision,batch_seed,batch_start,batch_count,batch_confidence_rank,rank,selected
64,,1269247094,0.8061080369311081,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1269247094/samples/sample_0064/sample_0064.pdb,32,2166722947,64,16,0,1,True
17,,1269247094,0.7839674094008872,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1269247094/samples/sample_0017/sample_0017.pdb,32,2166722899,16,16,1,2,True
65,,1269247094,0.7789246590549119,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1269247094/samples/sample_0065/sample_0065.pdb,32,2166722947,64,16,1,3,True
49,,1269247094,0.7419229196051746,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1269247094/samples/sample_0049/sample_0049.pdb,32,2166722931,48,16,1,4,True
33,,1269247094,0.7358007075627004,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1269247094/samples/sample_0033/sample_0033.pdb,32,2166722915,32,16,1,5,True
22,,1269247094,0.700837976545346,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1269247094/samples/sample_0022/sample_0022.pdb,32,2166722899,16,16,6,6,True
20,,1269247094,0.6902162823689751,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1269247094/samples/sample_0020/sample_0020.pdb,32,2166722899,16,16,4,7,True
16,,1269247094,0.6807893876243248,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1269247094/samples/sample_0016/sample_0016.pdb,32,2166722899,16,16,0,8,True
48,,1269247094,0.629109297494084,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1269247094/samples/sample_0048/sample_0048.pdb,32,2166722931,48,16,0,9,True
82,,1269247094,0.6158535418366807,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1269247094/samples/sample_0082/sample_0082.pdb,32,2166722963,80,16,2,10,True
0,,1269247094,0.5997495785313834,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1269247094/samples/sample_0000/sample_0000.pdb,32,2166722883,0,16,0,11,False
84,,1269247094,0.5959307933742116,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1269247094/samples/sample_0084/sample_0084.pdb,32,2166722963,80,16,4,12,False
71,,1269247094,0.5755732415141481,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1269247094/samples/sample_0071/sample_0071.pdb,32,2166722947,64,16,7,13,False
81,,1269247094,0.5529045027361019,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1269247094/samples/sample_0081/sample_0081.pdb,32,2166722963,80,16,1,14,False
80,,1269247094,0.5250937366877158,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1269247094/samples/sample_0080/sample_0080.pdb,32,2166722963,80,16,0,15,False
