run_seed,N,K,mean_of_K,max_of_K
70118930,100,10,0.804978518520775,0.8674259881352395
1869680097,100,10,0.7770157656716223,0.8549649212582895
1232451588,100,10,0.7813323869238084,0.8523788967536006
825015182,100,10,0.7528771691929144,0.7870002639592214
679479962,100,10,0.7819069386372146,0.9025399326287508
444290507,100,10,0.7922269670343142,0.9084930719298929
53672067,100,10,0.7509512776037803,0.8154877233676905
1739327440,100,10,0.7588431382124574,0.7939722046305517
397142107,100,10,0.7747541771716995,0.8313447658207177
111478797,100,10,0.7648279012456185,0.7893130445918675
