index,stage,score,structure,latent_file,budget,seed,u
0,phase1_random,0.44432063981377,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0000.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0000.npy,n50_k5,1468070709,
1,phase1_random,0.6437758592274769,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0001.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0001.npy,n50_k5,1468070709,
2,phase1_random,0.7240545948486129,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0002.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0002.npy,n50_k5,1468070709,
3,phase1_random,0.6888168324713828,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0003.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0003.npy,n50_k5,1468070709,
4,phase1_random,0.6765743544639969,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0004.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0004.npy,n50_k5,1468070709,
5,phase1_random,0.4527408156652679,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0005.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0005.npy,n50_k5,1468070709,
6,phase1_random,0.7757675300528222,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0006.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0006.npy,n50_k5,1468070709,
7,phase1_random,0.6581554002373079,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0007.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0007.npy,n50_k5,1468070709,
8,phase1_random,0.7497363538466691,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0008.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0008.npy,n50_k5,1468070709,
9,phase1_random,0.6488707447462858,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0009.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0009.npy,n50_k5,1468070709,
10,phase1_random,0.8243223755653394,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0010.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0010.npy,n50_k5,1468070709,
11,phase1_random,0.6511034903874716,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0011.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0011.npy,n50_k5,1468070709,
12,phase1_random,0.49619061890552313,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0012.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0012.npy,n50_k5,1468070709,
13,phase1_random,0.7544799358384,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0013.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0013.npy,n50_k5,1468070709,
14,phase1_random,0.6437471693938788,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0014.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0014.npy,n50_k5,1468070709,
15,phase1_random,0.5523833569842156,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0015.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0015.npy,n50_k5,1468070709,
16,phase1_random,0.5211902350929839,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0016.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0016.npy,n50_k5,1468070709,
17,phase1_random,0.6834485578912108,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0017.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0017.npy,n50_k5,1468070709,
18,phase1_random,0.5217845981657787,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0018.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0018.npy,n50_k5,1468070709,
19,phase1_random,0.5302230127021308,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0019.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0019.npy,n50_k5,1468070709,
20,phase1_random,0.7260533521597711,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0020.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0020.npy,n50_k5,1468070709,
21,phase1_random,0.6880871056530142,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0021.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0021.npy,n50_k5,1468070709,
22,phase1_random,0.5849613055782712,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0022.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0022.npy,n50_k5,1468070709,
23,phase1_random,0.4566372674609357,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0023.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0023.npy,n50_k5,1468070709,
24,phase1_random,0.6844983686807684,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/phase1/sample_0024.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0024.npy,n50_k5,1468070709,
25,bo_initial_random,0.6637827453115444,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/bo/initial_00.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0025.npy,n50_k5,1468070709,"[0.43569343664907434, 0.4930038232078072, 0.4503730652206335, 0.2026456196536882, 0.7632169176767507, 0.2272727146707647]"
26,bo_initial_random,0.5254119010088549,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/bo/initial_01.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0026.npy,n50_k5,1468070709,"[0.4725818049778997, 0.5978313104415304, 0.3835339478563511, 0.6914915827974917, 0.20331604242119772, 0.3803909335283203]"
27,bo_acquisition,0.9080741107943882,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/bo/round_0000.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0027.npy,n50_k5,1468070709,"[0.016665564058076753, 0.9999998764904112, 0.9999999569906247, 0.0, 0.6866466667227782, 0.0]"
28,bo_acquisition,0.9173076833324362,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/bo/round_0001.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0028.npy,n50_k5,1468070709,"[0.03359005663720183, 0.9993806714711153, 1.0, 0.0, 0.9532108729082274, 0.31054597466944517]"
29,bo_acquisition,0.8783787998301495,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/bo/round_0002.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0029.npy,n50_k5,1468070709,"[0.13126874692742782, 0.8192834791547053, 1.0, 0.0, 1.0, 0.0]"
30,bo_acquisition,0.6873375679514822,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/bo/round_0003.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0030.npy,n50_k5,1468070709,"[0.25859802995343684, 0.013938955501494262, 0.0, 0.605365773098965, 0.2909758004421912, 0.5662905634997183]"
31,bo_acquisition,0.7758663056268779,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/bo/round_0004.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0031.npy,n50_k5,1468070709,"[1.0, 0.0, 0.9288866239944374, 0.0, 0.0, 0.0]"
32,bo_acquisition,0.8250683479708784,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/bo/round_0005.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0032.npy,n50_k5,1468070709,"[0.0, 1.0, 0.970340448215408, 0.0, 1.0, 0.0]"
33,bo_acquisition,0.77564947323319,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/bo/round_0006.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0033.npy,n50_k5,1468070709,"[1.0, 0.0, 0.854189955102448, 1.0, 1.0, 1.0]"
34,bo_acquisition,0.9110718455913194,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/bo/round_0007.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0034.npy,n50_k5,1468070709,"[0.07427681695914727, 0.9898201577681609, 1.0, 0.0, 0.735287959473966, 0.3723806586726035]"
35,bo_acquisition,0.7059922237630588,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/bo/round_0008.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0035.npy,n50_k5,1468070709,"[1.0, 0.7114082220943984, 0.8724388604078721, 0.0, 0.0, 0.0]"
36,bo_acquisition,0.8711811072887163,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/bo/round_0009.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0036.npy,n50_k5,1468070709,"[0.05279707742854971, 0.6523198118183966, 1.0, 0.032647731255656925, 0.8288047217576334, 0.48110277917906236]"
37,bo_acquisition,0.9170952756821779,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/bo/round_0010.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0037.npy,n50_k5,1468070709,"[0.04641182343815831, 1.0, 1.0, 0.0, 0.7822274372285739, 0.0]"
38,bo_acquisition,0.8250834717698244,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/bo/round_0011.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0038.npy,n50_k5,1468070709,"[0.0, 1.0, 1.0, 0.0, 0.0, 1.0]"
39,bo_acquisition,0.7162253452412829,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/bo/round_0012.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/o3/n50_k5/runs/n50_k5_run01/seed_1468070709/latents/latent_0039.npy,n50_k5,1468070709,"[0.04286475732773221, 1.0, 1.0, 0.6611798949499954, 1.0, 0.0]"
