seed,N,K,mean_of_K,max_of_K
2139874892,100,10,0.8112008985812966,0.9214933938510631
1269247094,100,10,0.8328153715628931,0.9122405484711518
1326055816,100,10,0.8197340030986329,0.8614714111770606
588726372,100,10,0.8364332379263001,0.89325453579194
1544345179,100,10,0.8365683229427491,0.9140092494509496
