index,stage,score,structure,latent_file,budget,seed,u
0,phase1_random,0.7049130364780279,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/phase1/sample_0000.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0000.npy,n20_k2,1847648099,
1,phase1_random,0.5612569380316518,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/phase1/sample_0001.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0001.npy,n20_k2,1847648099,
2,phase1_random,0.6406286907187685,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/phase1/sample_0002.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0002.npy,n20_k2,1847648099,
3,phase1_random,0.6341212825751652,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/phase1/sample_0003.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0003.npy,n20_k2,1847648099,
4,phase1_random,0.6960113687044881,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/phase1/sample_0004.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0004.npy,n20_k2,1847648099,
5,phase1_random,0.502518154268224,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/phase1/sample_0005.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0005.npy,n20_k2,1847648099,
6,phase1_random,0.6810273923639527,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/phase1/sample_0006.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0006.npy,n20_k2,1847648099,
7,phase1_random,0.7710613666578031,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/phase1/sample_0007.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0007.npy,n20_k2,1847648099,
8,phase1_random,0.587689616121219,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/phase1/sample_0008.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0008.npy,n20_k2,1847648099,
9,phase1_random,0.8450651175926851,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/phase1/sample_0009.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0009.npy,n20_k2,1847648099,
10,bo_initial_random,0.7369115108441501,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/bo/initial_00.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0010.npy,n20_k2,1847648099,"[0.9858205295056311, 0.7243667655103867, 0.8782429375398373, 0.990923136789749]"
11,bo_initial_random,0.7821543744741544,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/bo/initial_01.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0011.npy,n20_k2,1847648099,"[0.5820167832952802, 0.6872887781566294, 0.042500665179123764, 0.4711334904301012]"
12,bo_acquisition,0.8450456887716736,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/bo/round_0000.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0012.npy,n20_k2,1847648099,"[0.0, 0.9618747637716324, 0.0, 0.0]"
13,bo_acquisition,0.6938307661712857,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/bo/round_0001.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0013.npy,n20_k2,1847648099,"[0.015300978981027058, 0.8783092573072152, 0.38082669010340353, 0.37167889990581515]"
14,bo_acquisition,0.845040393072034,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/bo/round_0002.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0014.npy,n20_k2,1847648099,"[0.0, 0.5076968862474963, 0.0, 0.0]"
15,bo_acquisition,0.8450480449611647,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/bo/round_0003.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0015.npy,n20_k2,1847648099,"[0.0, 0.0, 1.0, 1.0]"
16,bo_acquisition,0.845047089845236,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/bo/round_0004.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0016.npy,n20_k2,1847648099,"[0.0, 0.0, 0.0, 0.0]"
17,bo_acquisition,0.845047089845236,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/bo/round_0005.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0017.npy,n20_k2,1847648099,"[0.0, 0.0, 0.0, 0.0]"
18,bo_acquisition,0.7814475727618899,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/bo/round_0006.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0018.npy,n20_k2,1847648099,"[0.5624111539740027, 0.5101313435332947, 0.8186371102646515, 0.6415178420960165]"
19,bo_acquisition,0.7540948421949595,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/bo/round_0007.pdb,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/o3/runs/batch8_trial02/seed_1847648099/latents/latent_0019.npy,n20_k2,1847648099,"[0.6027299348574905, 0.3471708788948563, 0.7630629373888934, 0.13784813551092986]"
