N,K,n_pairs,metric,mean_delta,sd_delta,ci95_half_width,min_delta,max_delta,wins,win_rate
20,2,5,max_of_K,0.06252621804288334,0.02905795061636933,0.036074426950666726,0.0382099029307863,0.10144699003418878,5,1.0
20,2,5,mean_of_K,0.06694012496428096,0.039047613156153134,0.04847624276730705,0.033796293065013416,0.11425611047791073,5,1.0
50,5,5,max_of_K,0.056250337775805945,0.0680295914852026,0.0844563527867704,-0.020022739575850323,0.1377006357818411,4,0.8
50,5,5,mean_of_K,0.09486034880580323,0.03212639666466265,0.03988379514330391,0.06183729500162838,0.14803757856327238,5,1.0
100,10,3,max_of_K,0.06129508802803729,0.0913543394881613,0.22695507608654605,-0.027474089875454744,0.15503188193631856,2,0.6666666666666666
100,10,3,mean_of_K,0.10968996183503614,0.07035157551420762,0.17477710706566396,0.029958270827566524,0.1630275282439968,3,1.0
