sample_index,sample_seed,run_seed,tm_score,structure,inference_precision,batch_seed,batch_start,batch_count,batch_confidence_rank,rank,selected
96,,397142107,0.8313447658207177,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0096/sample_0096.pdb,32,557559653,96,4,0,1,True
16,,397142107,0.806737168815534,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0016/sample_0016.pdb,32,557559573,16,16,0,2,True
32,,397142107,0.7838340664975862,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0032/sample_0032.pdb,32,557559589,32,16,0,3,True
64,,397142107,0.7786985861225184,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0064/sample_0064.pdb,32,557559621,64,16,0,4,True
2,,397142107,0.7781383299708613,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0002/sample_0002.pdb,32,557559557,0,16,2,5,True
34,,397142107,0.7690935209995479,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0034/sample_0034.pdb,32,557559589,32,16,2,6,True
1,,397142107,0.7626595629428922,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0001/sample_0001.pdb,32,557559557,0,16,1,7,True
17,,397142107,0.7501478924522947,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0017/sample_0017.pdb,32,557559573,16,16,1,8,True
0,,397142107,0.7464001116999821,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0000/sample_0000.pdb,32,557559557,0,16,0,9,True
48,,397142107,0.7404877663950604,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0048/sample_0048.pdb,32,557559605,48,16,0,10,True
33,,397142107,0.7263072886721309,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0033/sample_0033.pdb,32,557559589,32,16,1,11,False
49,,397142107,0.716595538371561,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0049/sample_0049.pdb,32,557559605,48,16,1,12,False
80,,397142107,0.7152578506521666,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0080/sample_0080.pdb,32,557559637,80,16,0,13,False
36,,397142107,0.7037306996085806,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0036/sample_0036.pdb,32,557559589,32,16,4,14,False
35,,397142107,0.6962152182282767,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0035/sample_0035.pdb,32,557559589,32,16,3,15,False
81,,397142107,0.6876445913751446,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0081/sample_0081.pdb,32,557559637,80,16,1,16,False
65,,397142107,0.6857826425004971,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0065/sample_0065.pdb,32,557559621,64,16,1,17,False
3,,397142107,0.6685198062697695,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0003/sample_0003.pdb,32,557559557,0,16,3,18,False
18,,397142107,0.6580829976308343,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0018/sample_0018.pdb,32,557559573,16,16,2,19,False
4,,397142107,0.6466000044744424,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0004/sample_0004.pdb,32,557559557,0,16,4,20,False
85,,397142107,0.639019882754085,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0085/sample_0085.pdb,32,557559637,80,16,5,21,False
86,,397142107,0.6277526636580997,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_397142107/samples/sample_0086/sample_0086.pdb,32,557559637,80,16,6,22,False
