sample_index,sample_seed,run_seed,tm_score,structure,rank,selected
37,3752173625,1468070709,0.4605876458498224,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0037/sample_0037.pdb,30,False
5,3752173593,1468070709,0.46057967181813253,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0005/sample_0005.pdb,31,False
2,3752173590,1468070709,0.4605354832423018,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0002/sample_0002.pdb,32,False
47,3752173635,1468070709,0.45950448328536697,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0047/sample_0047.pdb,33,False
19,3752173607,1468070709,0.45906744635540786,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0019/sample_0019.pdb,34,False
25,3752173613,1468070709,0.45874099507232063,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0025/sample_0025.pdb,35,False
8,3752173596,1468070709,0.45618486410646775,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0008/sample_0008.pdb,36,False
0,3752173588,1468070709,0.45610413273511174,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0000/sample_0000.pdb,37,False
1,3752173589,1468070709,0.4553881078383295,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0001/sample_0001.pdb,38,False
45,3752173633,1468070709,0.4548166468711716,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0045/sample_0045.pdb,39,False
13,3752173601,1468070709,0.45465713714534733,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0013/sample_0013.pdb,40,False
12,3752173600,1468070709,0.4542444425476271,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0012/sample_0012.pdb,41,False
11,3752173599,1468070709,0.4530095653702005,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0011/sample_0011.pdb,42,False
44,3752173632,1468070709,0.4524491616273483,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0044/sample_0044.pdb,43,False
33,3752173621,1468070709,0.4446825274228925,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0033/sample_0033.pdb,44,False
4,3752173592,1468070709,0.4420460139941575,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0004/sample_0004.pdb,45,False
29,3752173617,1468070709,0.4417555445821519,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0029/sample_0029.pdb,46,False
27,3752173615,1468070709,0.4417493177789982,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0027/sample_0027.pdb,47,False
9,3752173597,1468070709,0.44149530737002957,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0009/sample_0009.pdb,48,False
35,3752173623,1468070709,0.43525545226427537,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0035/sample_0035.pdb,49,False
21,3752173609,1468070709,0.3959250947140215,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k5_n50/best_k_of_n/runs/n50_k5_run01/replicate_1468070709/samples/sample_0021/sample_0021.pdb,50,False
