sample_index,sample_seed,run_seed,tm_score,structure,inference_precision,batch_seed,batch_start,batch_count,batch_confidence_rank,rank,selected
40,,1544345179,0.43461660495169196,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0040/sample_0040.pdb,32,4126805125,32,16,8,75,False
27,,1544345179,0.43321190151814243,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0027/sample_0027.pdb,32,4126805109,16,16,11,76,False
10,,1544345179,0.4283770453269161,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0010/sample_0010.pdb,32,4126805093,0,16,10,77,False
70,,1544345179,0.425075490182993,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0070/sample_0070.pdb,32,4126805157,64,16,6,78,False
57,,1544345179,0.4237772904440117,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0057/sample_0057.pdb,32,4126805141,48,16,9,79,False
13,,1544345179,0.419374411126902,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0013/sample_0013.pdb,32,4126805093,0,16,13,80,False
60,,1544345179,0.41170821723504947,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0060/sample_0060.pdb,32,4126805141,48,16,12,81,False
78,,1544345179,0.4091307177549293,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0078/sample_0078.pdb,32,4126805157,64,16,14,82,False
30,,1544345179,0.407122214473659,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0030/sample_0030.pdb,32,4126805109,16,16,14,83,False
79,,1544345179,0.40411857657581274,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0079/sample_0079.pdb,32,4126805157,64,16,15,84,False
63,,1544345179,0.4039215231997353,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0063/sample_0063.pdb,32,4126805141,48,16,15,85,False
76,,1544345179,0.40176764942140586,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0076/sample_0076.pdb,32,4126805157,64,16,12,86,False
74,,1544345179,0.39851259388438875,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0074/sample_0074.pdb,32,4126805157,64,16,10,87,False
46,,1544345179,0.3958153245814799,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0046/sample_0046.pdb,32,4126805125,32,16,14,88,False
31,,1544345179,0.3948030924811017,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0031/sample_0031.pdb,32,4126805109,16,16,15,89,False
47,,1544345179,0.3944043553978375,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0047/sample_0047.pdb,32,4126805125,32,16,15,90,False
95,,1544345179,0.39354550653323583,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0095/sample_0095.pdb,32,4126805173,80,16,15,91,False
93,,1544345179,0.3921721239319614,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0093/sample_0093.pdb,32,4126805173,80,16,13,92,False
58,,1544345179,0.39012320513559584,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0058/sample_0058.pdb,32,4126805141,48,16,10,93,False
77,,1544345179,0.383224434802386,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0077/sample_0077.pdb,32,4126805157,64,16,13,94,False
61,,1544345179,0.3790506599259365,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0061/sample_0061.pdb,32,4126805141,48,16,13,95,False
15,,1544345179,0.37604227605244084,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0015/sample_0015.pdb,32,4126805093,0,16,15,96,False
59,,1544345179,0.37408791332098457,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0059/sample_0059.pdb,32,4126805141,48,16,11,97,False
94,,1544345179,0.3687442048373992,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0094/sample_0094.pdb,32,4126805173,80,16,14,98,False
71,,1544345179,0.3647294460109109,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0071/sample_0071.pdb,32,4126805157,64,16,7,99,False
42,,1544345179,0.36048513090428846,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/sep09_step1_r5/replicate_1544345179/samples/sample_0042/sample_0042.pdb,32,4126805125,32,16,10,100,False
