sample_index,sample_seed,run_seed,tm_score,structure,inference_precision,batch_seed,batch_start,batch_count,batch_confidence_rank,rank,selected
0,,679479962,0.9025399326287508,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0000/sample_0000.pdb,32,994501707,0,16,0,1,True
67,,679479962,0.7915704932940877,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0067/sample_0067.pdb,32,994501771,64,16,3,2,True
80,,679479962,0.7886389356982237,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0080/sample_0080.pdb,32,994501787,80,16,0,3,True
1,,679479962,0.7848456565355755,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0001/sample_0001.pdb,32,994501707,0,16,1,4,True
20,,679479962,0.7719743946748756,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0020/sample_0020.pdb,32,994501723,16,16,4,5,True
82,,679479962,0.7653054311647547,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0082/sample_0082.pdb,32,994501787,80,16,2,6,True
18,,679479962,0.7631711132299431,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0018/sample_0018.pdb,32,994501723,16,16,2,7,True
83,,679479962,0.7535736841792402,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0083/sample_0083.pdb,32,994501787,80,16,3,8,True
84,,679479962,0.7508042323591816,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0084/sample_0084.pdb,32,994501787,80,16,4,9,True
48,,679479962,0.7466455126075123,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0048/sample_0048.pdb,32,994501755,48,16,0,10,True
2,,679479962,0.7439230210181971,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0002/sample_0002.pdb,32,994501707,0,16,2,11,False
51,,679479962,0.7399659288360014,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0051/sample_0051.pdb,32,994501755,48,16,3,12,False
53,,679479962,0.7340404933272744,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0053/sample_0053.pdb,32,994501755,48,16,5,13,False
64,,679479962,0.7184496177777686,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0064/sample_0064.pdb,32,994501771,64,16,0,14,False
65,,679479962,0.7081690091335916,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0065/sample_0065.pdb,32,994501771,64,16,1,15,False
81,,679479962,0.704936035367266,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0081/sample_0081.pdb,32,994501787,80,16,1,16,False
17,,679479962,0.7035135839150461,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0017/sample_0017.pdb,32,994501723,16,16,1,17,False
16,,679479962,0.7002160189480806,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0016/sample_0016.pdb,32,994501723,16,16,0,18,False
49,,679479962,0.6941415261916382,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0049/sample_0049.pdb,32,994501755,48,16,1,19,False
50,,679479962,0.6846530198001664,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0050/sample_0050.pdb,32,994501755,48,16,2,20,False
3,,679479962,0.6429780896123813,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0003/sample_0003.pdb,32,994501707,0,16,3,21,False
52,,679479962,0.6428377998148354,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k10_n100/best_k_of_n/runs/n100_k10_20260908_122004/replicate_679479962/samples/sample_0052/sample_0052.pdb,32,994501755,48,16,4,22,False
