method,N,K,replicates,mean_of_K,mean_of_K_sd,mean_of_K_ci95,mean_of_K_best,max_of_K,max_of_K_sd,max_of_K_ci95,max_of_K_best
best_k_of_n,100,10,5,0.7090993137044308,0.019555985511502352,0.024278070401343884,0.7303079562093671,0.7986922056305418,0.02166536148526713,0.026896786720388154,0.8262786957458363
o3,100,10,5,0.8884713242828433,0.05402135675649531,0.0670656204842704,0.9357507227267684,0.9108284816222856,0.04076168842515581,0.050604207120193936,0.9458342760147674
random_pfode,100,10,5,0.8273503668223743,0.011359465878546828,0.014102378637927144,0.8365683229427491,0.900493827748433,0.02417017889432245,0.03000642971760702,0.9214933938510631
