sample_index,sample_seed,run_seed,tm_score,structure,inference_precision,batch_seed,batch_start,batch_count,batch_confidence_rank,rank,selected
0,,1826899933,0.7736290955457501,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0000/sample_0000.pdb,32,2420065895,0,8,0,1,True
8,,1826899933,0.762392604228456,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0008/sample_0008.pdb,32,2420065903,8,8,0,2,True
1,,1826899933,0.7379419879224555,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0001/sample_0001.pdb,32,2420065895,0,8,1,3,False
2,,1826899933,0.6941860406731818,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0002/sample_0002.pdb,32,2420065895,0,8,2,4,False
16,,1826899933,0.6625470870625754,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0016/sample_0016.pdb,32,2420065911,16,4,0,5,False
3,,1826899933,0.6604901108711695,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0003/sample_0003.pdb,32,2420065895,0,8,3,6,False
9,,1826899933,0.5569566342130914,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0009/sample_0009.pdb,32,2420065903,8,8,1,7,False
4,,1826899933,0.4887391520090445,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0004/sample_0004.pdb,32,2420065895,0,8,4,8,False
12,,1826899933,0.48788039931117233,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0012/sample_0012.pdb,32,2420065903,8,8,4,9,False
5,,1826899933,0.48272432685703465,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0005/sample_0005.pdb,32,2420065895,0,8,5,10,False
11,,1826899933,0.4629924436267063,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0011/sample_0011.pdb,32,2420065903,8,8,3,11,False
14,,1826899933,0.462208944105324,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0014/sample_0014.pdb,32,2420065903,8,8,6,12,False
17,,1826899933,0.45842467823066485,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0017/sample_0017.pdb,32,2420065911,16,4,1,13,False
7,,1826899933,0.4528385823645682,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0007/sample_0007.pdb,32,2420065895,0,8,7,14,False
10,,1826899933,0.45217489960485363,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0010/sample_0010.pdb,32,2420065903,8,8,2,15,False
19,,1826899933,0.4496332937878464,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0019/sample_0019.pdb,32,2420065911,16,4,3,16,False
15,,1826899933,0.4455565731378961,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0015/sample_0015.pdb,32,2420065903,8,8,7,17,False
6,,1826899933,0.4443654796842208,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0006/sample_0006.pdb,32,2420065895,0,8,6,18,False
13,,1826899933,0.4394479905936619,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0013/sample_0013.pdb,32,2420065903,8,8,5,19,False
18,,1826899933,0.43740237104725105,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1826899933/samples/sample_0018/sample_0018.pdb,32,2420065911,16,4,2,20,False
