N,K,n_pairs,metric,mean_delta,sd_delta,ci95_half_width,min_delta,max_delta,wins,win_rate
100,10,10,max_of_K,0.0850562867982259,0.03999479902143925,0.02478903325581061,0.023365329062302265,0.13777061480781183,10,1.0
100,10,10,mean_of_K,0.13460321734441524,0.023944983151334347,0.014841254317344277,0.10415614909450421,0.1774420205729611,10,1.0
