method,N,K,replicates,mean_of_K,mean_of_K_sd,mean_of_K_ci95,mean_of_K_best,max_of_K,max_of_K_sd,max_of_K_ci95,max_of_K_best
best_k_of_n,100,10,10,0.7739714240214204,0.01734968912229193,0.012410357663702022,0.804978518520775,0.8402920813075822,0.0446013501775006,0.031903667211858444,0.9084930719298929
o3,100,10,10,0.9085746413658358,0.027878875471343226,0.01994196054018247,0.9696689876072753,0.925348368105808,0.02429278965733301,0.017376807513468432,0.9696765393505087
random_pfode,100,10,10,0.8374147510207001,0.019281088673324214,0.013791901681630669,0.8706192237569302,0.91729456630949,0.03051175842605697,0.021825280692166018,0.9695620268117432
