sample_index,sample_seed,run_seed,tm_score,structure,inference_precision,batch_seed,batch_start,batch_count,batch_confidence_rank,rank,selected
10,,1847648099,0.759129010887277,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0010/sample_0010.pdb,32,1661308256,8,8,2,1,True
1,,1847648099,0.7232571922260764,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0001/sample_0001.pdb,32,1661308248,0,8,1,2,True
0,,1847648099,0.7189369267049633,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0000/sample_0000.pdb,32,1661308248,0,8,0,3,False
8,,1847648099,0.6424916278812727,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0008/sample_0008.pdb,32,1661308256,8,8,0,4,False
9,,1847648099,0.5987826559859858,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0009/sample_0009.pdb,32,1661308256,8,8,1,5,False
2,,1847648099,0.5258750837013112,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0002/sample_0002.pdb,32,1661308248,0,8,2,6,False
11,,1847648099,0.49325043576806415,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0011/sample_0011.pdb,32,1661308256,8,8,3,7,False
3,,1847648099,0.47162005806457913,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0003/sample_0003.pdb,32,1661308248,0,8,3,8,False
5,,1847648099,0.46856810665919035,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0005/sample_0005.pdb,32,1661308248,0,8,5,9,False
4,,1847648099,0.466334336481291,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0004/sample_0004.pdb,32,1661308248,0,8,4,10,False
6,,1847648099,0.4657559685408579,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0006/sample_0006.pdb,32,1661308248,0,8,6,11,False
13,,1847648099,0.46399421349489356,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0013/sample_0013.pdb,32,1661308256,8,8,5,12,False
16,,1847648099,0.4580561811172676,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0016/sample_0016.pdb,32,1661308264,16,4,0,13,False
14,,1847648099,0.45744024707828107,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0014/sample_0014.pdb,32,1661308256,8,8,6,14,False
12,,1847648099,0.455998902857486,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0012/sample_0012.pdb,32,1661308256,8,8,4,15,False
19,,1847648099,0.4534121837820909,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0019/sample_0019.pdb,32,1661308264,16,4,3,16,False
18,,1847648099,0.4532321491815934,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0018/sample_0018.pdb,32,1661308264,16,4,2,17,False
15,,1847648099,0.45287294666399386,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0015/sample_0015.pdb,32,1661308256,8,8,7,18,False
7,,1847648099,0.4479912931856754,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0007/sample_0007.pdb,32,1661308248,0,8,7,19,False
17,,1847648099,0.43870416822467284,/mnt/SSD3/Chase/budgetting O3/outputs/1cll/k2_n20/best_k_of_n/runs/batch8_trial02/replicate_1847648099/samples/sample_0017/sample_0017.pdb,32,1661308264,16,4,1,20,False
